    energy(eV)      sigma_t(b)
    2.407969e+06    5.911109e-01
    2.412813e+06    6.339965e-01
    2.417656e+06    6.739196e-01
    2.422570e+06    7.113642e-01
    2.427344e+06    7.449215e-01
    2.432187e+06    7.761908e-01
    2.437031e+06    8.048344e-01
    2.441875e+06    8.310179e-01
    2.449699e+06    8.683468e-01
    2.461003e+06    9.131389e-01
    2.470938e+06    9.463253e-01
    2.480625e+06    9.725355e-01
    2.490312e+06    9.942998e-01
    2.503418e+06    1.017404e+00
    2.518555e+06    1.038507e+00
    2.534180e+06    1.054636e+00
    2.549805e+06    1.066472e+00
    2.565430e+06    1.074856e+00
    2.593750e+06    1.084725e+00
    2.625000e+06    1.089234e+00
    2.706458e+06    1.087864e+00
    2.750000e+06    1.085224e+00
    2.818359e+06    1.086010e+00
    2.843750e+06    1.089109e+00
    2.880859e+06    1.099650e+00
    2.914062e+06    1.115763e+00
    2.932617e+06    1.129603e+00
    2.953125e+06    1.147982e+00
    2.968750e+06    1.166475e+00
    2.984375e+06    1.189013e+00
    3.000000e+06    1.216359e+00
    3.015625e+06    1.249421e+00
    3.031250e+06    1.289260e+00
    3.046875e+06    1.337108e+00
    3.062500e+06    1.394357e+00
    3.074218e+06    1.444755e+00
    3.083985e+06    1.492413e+00
    3.089844e+06    1.522310e+00
    3.101562e+06    1.588962e+00
    3.113282e+06    1.664861e+00
    3.125000e+06    1.748650e+00
    3.136718e+06    1.842473e+00
    3.140625e+06    1.875131e+00
    3.156250e+06    2.017365e+00
    3.171875e+06    2.173455e+00
    3.209926e+06    2.583779e+00
    3.210075e+06    2.590561e+00
    3.210285e+06    2.618911e+00
    3.210293e+06    2.619066e+00
    3.210388e+06    2.610777e+00
    3.210541e+06    2.593148e+00
    3.210556e+06    2.592492e+00
    3.234375e+06    2.830709e+00
    3.246094e+06    2.932862e+00
    3.259375e+06    3.033238e+00
    3.268750e+06    3.091467e+00
    3.278125e+06    3.139306e+00
    3.287500e+06    3.176897e+00
    3.301563e+06    3.214281e+00
    3.315625e+06    3.234809e+00
    3.325000e+06    3.239159e+00
    3.343750e+06    3.232430e+00
    3.381250e+06    3.186504e+00
    3.400000e+06    3.160507e+00
    3.450000e+06    3.115534e+00
    3.475000e+06    3.108544e+00
    3.540291e+06    3.131771e+00
    3.600000e+06    3.160815e+00
    3.639844e+06    3.148916e+00
    3.653125e+06    3.139217e+00
    3.687490e+06    3.097340e+00
    3.687844e+06    3.104194e+00
    3.687915e+06    3.115202e+00
    3.687985e+06    3.142909e+00
    3.688114e+06    3.221663e+00
    3.688160e+06    3.231837e+00
    3.688213e+06    3.218709e+00
    3.688349e+06    3.135361e+00
    3.688414e+06    3.112101e+00
    3.688521e+06    3.100001e+00
    3.692969e+06    3.088334e+00
    3.711563e+06    3.064780e+00
    3.716875e+06    3.060435e+00
    3.724844e+06    3.064230e+00
    3.730156e+06    3.076084e+00
    3.732813e+06    3.084762e+00
    3.738125e+06    3.120239e+00
    3.740781e+06    3.149420e+00
    3.743438e+06    3.190591e+00
    3.746094e+06    3.248986e+00
    3.748086e+06    3.309881e+00
    3.750078e+06    3.389163e+00
    3.751406e+06    3.457398e+00
    3.752734e+06    3.541148e+00
    3.754062e+06    3.644518e+00
    3.755391e+06    3.772459e+00
    3.756387e+06    3.888947e+00
    3.757383e+06    4.025228e+00
    3.758379e+06    4.186558e+00
    3.759375e+06    4.373119e+00
    3.760371e+06    4.589262e+00
    3.761367e+06    4.834770e+00
    3.762695e+06    5.182736e+00
    3.764023e+06    5.531097e+00
    3.764687e+06    5.683163e+00
    3.765352e+06    5.806786e+00
    3.766182e+06    5.907358e+00
    3.766763e+06    5.933031e+00
    3.766846e+06    5.933430e+00
    3.767344e+06    5.919513e+00
    3.767842e+06    5.876932e+00
    3.768672e+06    5.748481e+00
    3.769336e+06    5.605523e+00
    3.770000e+06    5.437012e+00
    3.772246e+06    4.810618e+00
    3.773144e+06    4.575918e+00
    3.773594e+06    4.464583e+00
    3.774492e+06    4.263034e+00
    3.775391e+06    4.085231e+00
    3.776289e+06    3.929996e+00
    3.777188e+06    3.795084e+00
    3.778086e+06    3.678096e+00
    3.778984e+06    3.576572e+00
    3.780332e+06    3.449255e+00
    3.781680e+06    3.343831e+00
    3.782578e+06    3.284695e+00
    3.784375e+06    3.185980e+00
    3.786172e+06    3.107432e+00
    3.787969e+06    3.043901e+00
    3.790664e+06    2.969544e+00
    3.793359e+06    2.913083e+00
    3.795156e+06    2.878682e+00
    3.798750e+06    2.825791e+00
    3.804141e+06    2.765809e+00
    3.813125e+06    2.691228e+00
    3.823906e+06    2.624686e+00
    3.841875e+06    2.535060e+00
    3.863437e+06    2.447130e+00
    3.885000e+06    2.371188e+00
    3.906562e+06    2.308735e+00
    3.920937e+06    2.274343e+00
    3.964062e+06    2.189613e+00
    3.978437e+06    2.163266e+00
    3.989219e+06    2.131458e+00
    3.992813e+06    2.118615e+00
    4.000000e+06    2.082761e+00
    4.006250e+06    2.039340e+00
    4.010937e+06    1.996349e+00
    4.015625e+06    1.944028e+00
    4.020313e+06    1.879273e+00
    4.025000e+06    1.804480e+00
    4.040625e+06    1.514286e+00
    4.043750e+06    1.461728e+00
    4.046875e+06    1.415031e+00
    4.050000e+06    1.375096e+00
    4.053125e+06    1.342240e+00
    4.056250e+06    1.316223e+00
    4.059375e+06    1.296322e+00
