    energy(eV)      sigma_s(b)
    2.363164e+06    1.541313e-01
    2.364375e+06    1.621694e-01
    2.366192e+06    1.752825e-01
    2.368008e+06    1.894149e-01
    2.369825e+06    2.047332e-01
    2.371641e+06    2.206889e-01
    2.374062e+06    2.433252e-01
    2.376484e+06    2.670977e-01
    2.380117e+06    3.045206e-01
    2.387383e+06    3.817613e-01
    2.394649e+06    4.592359e-01
    2.398281e+06    4.970014e-01
    2.403125e+06    5.452869e-01
    2.407969e+06    5.910109e-01
    2.412813e+06    6.338965e-01
    2.417656e+06    6.738199e-01
    2.422500e+06    7.107719e-01
    2.427344e+06    7.448215e-01
    2.432187e+06    7.760908e-01
    2.437031e+06    8.047344e-01
    2.444297e+06    8.428967e-01
    2.451563e+06    8.766463e-01
    2.461250e+06    9.146567e-01
    2.470938e+06    9.462253e-01
    2.480625e+06    9.724355e-01
    2.490312e+06    9.942035e-01
    2.500000e+06    1.012285e+00
    2.515625e+06    1.035224e+00
    2.531250e+06    1.052197e+00
    2.546875e+06    1.064673e+00
    2.562500e+06    1.073734e+00
    2.593750e+06    1.084625e+00
    2.625000e+06    1.089134e+00
    2.706458e+06    1.087764e+00
    2.750000e+06    1.085123e+00
    2.812500e+06    1.085196e+00
    2.843750e+06    1.089008e+00
    2.875000e+06    1.096963e+00
    2.906250e+06    1.110768e+00
    2.929688e+06    1.126674e+00
    2.953125e+06    1.147880e+00
    2.968750e+06    1.166372e+00
    2.984375e+06    1.188909e+00
    3.000000e+06    1.216254e+00
    3.015625e+06    1.249312e+00
    3.031250e+06    1.289145e+00
    3.046875e+06    1.336987e+00
    3.062500e+06    1.394230e+00
    3.074218e+06    1.444624e+00
    3.085938e+06    1.501138e+00
    3.097656e+06    1.565974e+00
    3.109375e+06    1.638099e+00
    3.121094e+06    1.719828e+00
    3.132812e+06    1.809620e+00
    3.140625e+06    1.874867e+00
    3.156250e+06    2.017062e+00
    3.171875e+06    2.173111e+00
    3.218750e+06    2.676011e+00
    3.238282e+06    2.865131e+00
    3.250000e+06    2.964193e+00
    3.259375e+06    3.032463e+00
    3.268750e+06    3.090627e+00
    3.278125e+06    3.138401e+00
    3.287500e+06    3.175928e+00
    3.301563e+06    3.213218e+00
    3.315625e+06    3.233655e+00
    3.325000e+06    3.237946e+00
    3.343750e+06    3.231105e+00
    3.381250e+06    3.184972e+00
    3.400000e+06    3.158875e+00
    3.450000e+06    3.113625e+00
    3.475000e+06    3.106468e+00
    3.512189e+06    3.115765e+00
    3.600000e+06    3.157617e+00
    3.631875e+06    3.151052e+00
    3.653125e+06    3.135193e+00
    3.685000e+06    3.094277e+00
    3.711563e+06    3.059310e+00
    3.716875e+06    3.054802e+00
    3.724844e+06    3.058327e+00
